"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","船舶分析数据接口","3","0","65","0","0"
"","","船舶动态数据接口","1","0","51","0","0"
"","","船舶基础数据接口","1","0","54","0","0"
"","","港口分析数据接口","0","0","28","0","0"
"","","基础数据接口","0","0","30","0","0"
"","","气象数据接口","3","0","12","0","0"
"","","航行统计（应用）","0","0","4","0","0"
"","","港口基础数据接口","0","0","27","0","0"
"","","潮流预报","0","0","2","0","0"
"","","LR船舶数据接口","0","0","9","0","0"
"","","航线分析数据接口","0","0","19","0","0"
"","","航线数据接口","0","0","16","0","0"
"","","油耗符合率月度曲线变化(实际值)接口","0","0","1","0","0"
"","","港口气象数据接口","0","0","3","0","0"
"","","油耗计算器","0","0","1","0","0"
"","","商品贸易数据接口","0","0","6","0","0"
"","","行业数据接口","0","0","2","0","0"
"","","港口泊位数据接口","0","0","11","0","0"
"","","BI数据分析报告接口","0","0","2","0","0"
"","","接口覆盖率统计","0","0","1","0","0"
"","","客户化-琼州海峡区域监控接口","0","0","3","0","0"
"","","港口天气预报","0","0","1","0","0"
"","","系统基础数据接口","0","0","4","0","0"
"","","船舶预测数据接口","0","0","1","0","0"
"","","船舶机速油耗符合率(实际值)接口","0","0","1","0","0"
"","","BI参考油耗补油分析接口","0","0","1","0","0"
"","","BI数据分析-船舶-碳排放","0","0","1","0","0"
"","","船舶机速油耗符合率(理论值)接口","0","0","1","0","0"
